8,41,880,129,322,126
8,21,7099,1106,2401,1138
7,52,1467,190,496,177
6,52,1274,235,558,219
4,52,1627,280,565,259
4,52,919,213,413,193
4,52,2535,489,1094,514
2,42,2555,665,1206,595
4,52,3549,707,1551,714
3,52,2202,434,910,402
3,52,3503,752,1504,734
3,52,2491,474,1098,468
3,52,696,191,345,174
2,52,2643,626,1212,620
2,50,1120,283,697,264
3,52,1966,347,793,331
2,52,1228,293,648,303
2,50,2239,455,990,419
3,52,1503,298,690,275
1,40,751,184,409,166
2,42,1639,367,929,366
2,52,2436,541,1015,478
2,52,1688,337,853,325
3,52,2224,437,1006,422
2,41,535,123,317,119
2,49,1130,244,607,239
2,52,1898,421,1102,397
2,50,2082,492,1131,473
2,52,729,160,395,155
2,49,1916,447,863,378
2,52,2153,481,1168,441
2,48,1922,409,1026,335
1,49,1655,366,754,329
3,51,2665,574,1258,536
1,49,1215,282,570,264
1,48,1798,432,987,374
1,52,1511,390,901,403
3,52,1470,330,689,309
3,52,2432,715,1377,696
2,52,1665,419,946,395
1,51,936,311,517,249
1,49,713,202,462,189
4,52,950,202,467,198
3,52,1443,311,660,292
3,52,1656,420,718,382
2,50,1125,322,616,304
2,43,1007,312,558,253
1,40,624,195,423,160
2,40,946,375,700,352
1,21,896,453,735,438
2,43,1868,456,1061,407
1,41,3221,853,1959,720
1,52,1630,456,1162,400
2,52,1170,235,701,233
1,52,945,243,576,220
2,52,1238,288,622,259
1,52,1489,335,728,244
1,52,1387,341,1074,304
3,2,158,43,94,57
3,52,1121,211,554,187
6,49,135,29,86,23
1,50,760,190,377,122
1,52,1224,237,521,159
3,48,828,182,392,133
1,52,1010,209,604,187
1,48,1455,354,788,332
3,52,1027,244,492,147
2,52,572,109,274,82
1,46,2801,644,1823,611
2,26,768,152,392,127
1,46,935,297,582,277
2,49,844,204,560,152
0,46,12,4,18,7
2,20,835,161,290,133
1,17,1237,462,762,439
2,36,2914,562,1236,509
1,19,1207,243,721,207
1,23,1745,374,1054,325
2,38,684,176,344,155
2,17,924,289,609,289
1,52,210,56,183,56
2,52,340,97,200,87
1,52,386,164,346,155
2,35,948,184,467,169
2,52,773,143,377,115
1,40,880,451,582,380
1,10,875,348,546,330
1,10,105,42,125,39
1,52,249,78,396,85
2,16,994,392,800,362
1,52,215,87,904,88
1,52,96,31,191,34
3,27,1055,347,718,302
2,39,1715,623,1327,467
2,36,5329,2477,3469,2323
3,31,4596,1331,2048,1180
2,29,335,107,202,91
1,22,3682,1270,2024,1250
3,37,3633,1085,1838,980
2,29,4656,1414,2304,1250
3,28,5806,1603,2563,1497
3,39,854,242,389,228
3,52,2155,701,895,613
3,34,5871,1914,2689,1789
5,52,1509,225,674,244
3,52,2026,482,709,456
3,52,1758,460,686,422
4,52,3481,751,1444,718
4,28,3337,855,1520,802
5,52,1424,289,550,253
3,32,3809,1098,1806,1022
3,26,3959,1196,1749,1217
3,52,2376,559,939,519
3,35,1613,428,675,422
3,52,1279,287,534,291
2,28,5022,1750,2558,1661
3,52,4190,1105,1786,1037
6,50,2515,399,970,373
5,47,3175,454,1098,485
6,41,2576,406,794,376
5,37,334,54,98,47
6,52,2800,411,1061,403
5,52,3529,574,1177,555
7,52,2612,365,901,367
5,28,5287,1048,2031,956
8,50,2935,473,1031,479
6,44,3424,597,1358,597
8,40,4991,674,1616,654
6,30,2211,346,844,343
7,34,3038,490,1140,496
12,18,1617,210,533,194
7,35,2865,460,1072,443
7,34,5065,788,1627,766
8,28,1326,184,463,190
8,26,1589,223,542,211
7,29,1791,271,661,269
8,32,1835,264,635,263
7,37,1229,181,420,176
6,39,3770,534,1265,500
6,30,292,38,126,52
7,52,2375,333,813,350
7,45,2964,436,1067,426
3,50,2833,605,1260,552
3,38,2254,535,951,487
5,52,1389,212,510,224
7,52,1971,335,765,308
3,52,2183,465,1129,460
3,52,2286,464,1073,441
5,52,2721,541,1185,515
4,52,2024,339,756,340
5,52,2944,536,1034,521
3,52,2033,486,787,459
5,52,1433,229,612,213
8,52,2927,402,1021,380
9,52,2315,292,861,258
7,52,2485,313,953,327
6,52,1490,238,634,256
8,52,2814,365,878,352
3,52,2093,550,918,483
2,52,888,168,360,175
3,52,2087,510,1197,488
4,52,2513,502,1048,518
3,46,3232,835,1373,747
3,42,4120,1065,1715,1015
